file_path,milestone,title_override
docs/issues/generated/parents/010-phase1-plan.md,Phase 1 - Canonical API Parity Baseline,Phase 1 — Canonical API Parity Baseline (Foundations) — 12%
docs/issues/generated/deliverables/0101-phase1-deliverable-route-by-route-api-parity-audit-with-examples-and-identified-diffs-resolved.md,Phase 1 - Canonical API Parity Baseline,Phase 1 — Route-by-route API parity audit with examples (success + error schemas) and identified diffs resolved.
docs/issues/generated/deliverables/0102-phase1-deliverable-permissions-enforce-canonical-rbac-across-finance-staff-operations.md,Phase 1 - Canonical API Parity Baseline,"Phase 1 — Permissions: Enforce canonical RBAC across finance, staff, operations (e.g., Sales Manager/Admin)."
docs/issues/generated/deliverables/0103-phase1-deliverable-response-shapes-paginated-lists-count-next-previous-results-standardized-error-p.md,Phase 1 - Canonical API Parity Baseline,"Phase 1 — Response shapes: Paginated lists {count,next,previous,results}; standardized error payloads."
docs/issues/generated/deliverables/0104-phase1-deliverable-json-schema-dev-only-validator-recognizes-canonical-aliases-schemas-exist-for-al.md,Phase 1 - Canonical API Parity Baseline,Phase 1 — JSON Schema: Dev-only validator recognizes canonical aliases; schemas exist for all touched resources.
docs/issues/generated/parents/020-phase2-plan.md,Phase 2 - Finance and Budget V2 Completion,Phase 2 — Finance & Budget Operations Completion (V2) — 8%
docs/issues/generated/deliverables/0201-phase2-deliverable-budgetv2-nested-writes-finalized-distributions-array-on-create-update-atomic-rep.md,Phase 2 - Finance and Budget V2 Completion,Phase 2 — BudgetV2 nested writes finalized: distributions array on create/update; atomic replace semantics; validation rules documented.
docs/issues/generated/deliverables/0202-phase2-deliverable-ux-lock-toggles-normalize-to-100-copy-last-year-toasts-and-a11y-states.md,Phase 2 - Finance and Budget V2 Completion,"Phase 2 — UX: lock toggles, normalize-to-100, copy-last-year; toasts and a11y states."
docs/issues/generated/deliverables/0203-phase2-deliverable-expense-budget-integration-canonical-cross-links-api-filters-with-tests.md,Phase 2 - Finance and Budget V2 Completion,"Phase 2 — Expense/Budget integration: canonical cross-links (cost center drill-through, budget-to-expense summaries); API filters (year, cost center) with tests."
docs/issues/generated/parents/030-phase3-plan.md,Phase 3 - Technician and User Mgmt Frontend,Phase 3 — Technician & User Management Frontend (Phase 4A) — 10%
docs/issues/generated/deliverables/0301-phase3-deliverable-ui-technician-list-detail-edit-certification-dashboard-coverage-area-map-mgmt-av.md,Phase 3 - Technician and User Mgmt Frontend,Phase 3 — UI: Technician list/detail/edit; Certification dashboard; Coverage area map mgmt; Availability calendar (drag-and-drop); Org chart (tree/list/grid).
docs/issues/generated/deliverables/0302-phase3-deliverable-api-wiring-api-technicians-api-certifications-api-coverage-areas-api-technician-.md,Phase 3 - Technician and User Mgmt Frontend,"Phase 3 — API wiring: /api/technicians/, /api/certifications/, /api/coverage-areas/, /api/technician-availability/, /api/enhanced-users/; permission checks and robust loading/error states."
docs/issues/generated/deliverables/0303-phase3-deliverable-real-time-polling-websocket-stubs-for-status-updates.md,Phase 3 - Technician and User Mgmt Frontend,Phase 3 — Real-time: Polling/WebSocket stubs for status updates (config-driven).
docs/issues/generated/parents/040-phase4-plan.md,Phase 4 - Field Service Mgmt Frontend,Phase 4 — Field Service Management Frontend Completion — 10%
docs/issues/generated/deliverables/0401-phase4-deliverable-schedulepage-fullcalendar-with-drag-and-drop-route-optimization-hook-eta-markers.md,Phase 4 - Field Service Mgmt Frontend,Phase 4 — SchedulePage: FullCalendar with drag-and-drop; route optimization hook; ETA markers.
docs/issues/generated/deliverables/0402-phase4-deliverable-paperworktemplatemanager-template-creation-with-variables-and-conditional-logic.md,Phase 4 - Field Service Mgmt Frontend,Phase 4 — PaperworkTemplateManager: Template creation with variables and conditional logic.
docs/issues/generated/deliverables/0403-phase4-deliverable-customerportal-time-slot-selection-appointment-request-confirmation-emails.md,Phase 4 - Field Service Mgmt Frontend,Phase 4 — CustomerPortal: Time slot selection; appointment request; confirmation emails (mock in dev).
docs/issues/generated/deliverables/0404-phase4-deliverable-appointmentrequestqueue-manager-approval-workflow.md,Phase 4 - Field Service Mgmt Frontend,Phase 4 — AppointmentRequestQueue: Manager approval workflow.
docs/issues/generated/deliverables/0405-phase4-deliverable-digitalsignaturepad-signature-capture-persistence-print-export.md,Phase 4 - Field Service Mgmt Frontend,Phase 4 — DigitalSignaturePad: Signature capture/persistence; print/export.
docs/issues/generated/parents/050-phase5-plan.md,Phase 5 - Advanced Analytics Parity,Phase 5 — Advanced Analytics Parity & Docs — 8%
docs/issues/generated/deliverables/0501-phase5-deliverable-verify-endpoints-api-analytics-predict-api-analytics-clv-api-analytics-forecast-.md,Phase 5 - Advanced Analytics Parity,"Phase 5 — Verify endpoints: /api/analytics/predict/, /api/analytics/clv/, /api/analytics/forecast/, /api/analytics-snapshots/."
docs/issues/generated/deliverables/0502-phase5-deliverable-frontend-predictions-clv-forecast-snapshots-charts-error-loading-states.md,Phase 5 - Advanced Analytics Parity,"Phase 5 — Frontend: Predictions, CLV, Forecast, Snapshots; charts; error/loading states."
docs/issues/generated/deliverables/0503-phase5-deliverable-reports-date-range-filters-and-export-affordances-documented.md,Phase 5 - Advanced Analytics Parity,Phase 5 — Reports: Date-range filters and export affordances documented.
docs/issues/generated/parents/060-phase6-plan.md,Phase 6 - Test Coverage Uplift,Phase 6 — Test Coverage Lift (Spec Validation ≥60%) — 12%
docs/issues/generated/deliverables/0601-phase6-deliverable-coverage-expansion-contacts-deals-invoicing-work-orders-warehouse-accounting-sum.md,Phase 6 - Test Coverage Uplift,"Phase 6 — Coverage expansion: Contacts, Deals, Invoicing, Work Orders, Warehouse, Accounting summary."
docs/issues/generated/deliverables/0602-phase6-deliverable-a11y-tests-for-critical-paths-regression-tests-for-auth-flows.md,Phase 6 - Test Coverage Uplift,Phase 6 — a11y tests (cypress-axe) for critical paths; regression tests for auth flows.
docs/issues/generated/deliverables/0603-phase6-deliverable-ci-coverage-surfaced-with-thresholds-enforced.md,Phase 6 - Test Coverage Uplift,Phase 6 — CI coverage surfaced (Codecov) with thresholds enforced.
docs/issues/generated/parents/070-phase7-plan.md,Phase 7,Phase 7 — Internationalization & Localization — 6%
docs/issues/generated/deliverables/0701-phase7-deliverable-backend-frontend-i18n-framework-wiring-extraction-of-user-visible-strings-locale.md,Phase 7,Phase 7 — Backend/Frontend i18n framework wiring; extraction of user-visible strings; locale switching.
docs/issues/generated/deliverables/0702-phase7-deliverable-date-number-currency-localization-timezone-awareness-in-backend-and-ui-csv-expor.md,Phase 7,Phase 7 — Date/number/currency localization; timezone awareness in backend and UI; CSV/exports localized.
docs/issues/generated/deliverables/0703-phase7-deliverable-language-packs-with-translation-completeness-metric.md,Phase 7,Phase 7 — Language packs (at least 2 canonical locales) with translation completeness metric.
docs/issues/generated/parents/080-phase8-plan.md,Phase 8,"Phase 8 — Security, Compliance & Privacy — 8%"
docs/issues/generated/deliverables/0801-phase8-deliverable-threat-model-and-stride-review-across-modules-secure-defaults-csrf-cors-checks.md,Phase 8,Phase 8 — Threat model and STRIDE review across modules; secure defaults; CSRF/CORS checks.
docs/issues/generated/deliverables/0802-phase8-deliverable-secrets-management-audit-logging-for-sensitive-actions-pii-classification-and-ma.md,Phase 8,Phase 8 — Secrets management; audit logging for sensitive actions; PII classification and masking.
docs/issues/generated/deliverables/0803-phase8-deliverable-vulnerability-scanning-in-ci-role-permission-audits-and-tests-optional-sso-readi.md,Phase 8,Phase 8 — Vulnerability scanning in CI (SAST/Dependency); role/permission audits and tests; optional SSO readiness.
docs/issues/generated/parents/090-phase9-plan.md,Phase 9,Phase 9 — Performance & Scalability — 6%
docs/issues/generated/deliverables/0901-phase9-deliverable-backend-n-1-query-audits-db-indices-caching-strategies-pagination-defaults.md,Phase 9,Phase 9 — Backend: N+1 query audits; DB indices; caching strategies (per endpoint where beneficial); pagination defaults.
docs/issues/generated/deliverables/0902-phase9-deliverable-frontend-bundle-analysis-code-splitting-lazy-loading-memoization-virtualization-.md,Phase 9,Phase 9 — Frontend: Bundle analysis; code splitting; lazy loading; memoization; virtualization for large lists.
docs/issues/generated/deliverables/0903-phase9-deliverable-load-perf-tests-with-target-slas-lighthouse-ci-integration-for-key-pages.md,Phase 9,Phase 9 — Load/perf tests (API + UI) with target SLAs; Lighthouse CI integration for key pages.
docs/issues/generated/parents/100-phase10-plan.md,Phase 10,Phase 10 — Observability & SRE Readiness — 5%
docs/issues/generated/deliverables/1001-phase10-deliverable-structured-logging-metrics-and-tracing-for-core-flows-correlation-ids-across-ser.md,Phase 10,"Phase 10 — Structured logging, metrics, and tracing for core flows; correlation IDs across services."
docs/issues/generated/deliverables/1002-phase10-deliverable-dashboards-and-alerts-for-error-rates-latency-inventory-low-stock-overdue-invoic.md,Phase 10,"Phase 10 — Dashboards and alerts for error rates, latency, inventory low-stock, overdue invoices, and SLA breaches."
docs/issues/generated/deliverables/1003-phase10-deliverable-runbooks-and-slos-for-critical-services.md,Phase 10,Phase 10 — Runbooks and SLOs for critical services.
docs/issues/generated/parents/110-phase11-plan.md,Phase 11,Phase 11 — Integrations & Data Migration — 7%
docs/issues/generated/deliverables/1101-phase11-deliverable-email-sms-providers-optional-payment-gateway-map-route-provider-configuration.md,Phase 11,Phase 11 — Email/SMS providers; optional payment gateway; map/route provider configuration.
docs/issues/generated/deliverables/1102-phase11-deliverable-data-migrations-for-deprecations-and-canonicalization-dual-write-read-compatibil.md,Phase 11,Phase 11 — Data migrations for deprecations and canonicalization; dual-write/read compatibility windows; backfills.
docs/issues/generated/deliverables/1103-phase11-deliverable-import-export-utilities-with-schema-validation-idempotency-and-resumability.md,Phase 11,Phase 11 — Import/export utilities with schema validation; idempotency and resumability.
docs/issues/generated/parents/120-phase12-plan.md,Phase 12,"Phase 12 — Documentation, UAT & Release Hardening — 8%"
docs/issues/generated/deliverables/1201-phase12-deliverable-complete-api-and-ui-documentation-story-driven-examples-json-schemas-published.md,Phase 12,Phase 12 — Complete API and UI documentation; story-driven examples; JSON Schemas published (dev-only validator remains gated by DEBUG).
docs/issues/generated/deliverables/1202-phase12-deliverable-uat-cycles-with-representative-users-bug-triage-and-fixes.md,Phase 12,Phase 12 — UAT cycles with representative users; bug triage and fixes.
docs/issues/generated/deliverables/1203-phase12-deliverable-release-notes-deprecation-notices-feature-flags-cleanup-and-defaults-finalized.md,Phase 12,Phase 12 — Release notes; deprecation notices; feature flags cleanup and defaults finalized.
